DATAID,NAME,path,Subtype,VALSTR
180940718,Crude CO 400033_5.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400033:00273-OM-400033-005,Document,
186606535,00273-OM-400033-006,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400033,Folder,
186608900,Crude Table 2.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400033:00273-OM-400033-006,Document,
186732552,Crude Change Order 400033_6.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400033:00273-OM-400033-006,Document,
188115887,00273-OM-400033-007,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400033,Folder,
188136323,MCC Mechanical Rates - Current2015.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400033:00273-OM-400033-007,Document,
188328993,Crude  CO400033_7 executed.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400033:00273-OM-400033-007,Document,
192261418,00273-OM-400033-008,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400033,Folder,
192267998,Blended Mechanical Rates 250815- .pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400033:00273-OM-400033-008,Document,
192426265,Crude CO400033_008executed.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400033:00273-OM-400033-008,Document,
171684024,00273-OM-400045,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts,Folder,400045
171686308,00273-OM-400045-000,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400045,Folder,
173111839,SOL Thermal MCC 400045.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400045:00273-OM-400045-000,Document,
171684186,00273-OM-400029,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts,Folder,400029
171683714,00273-OM-400029-000,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400029,Folder,
172673759,Vulcan MCC 400029.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400029:00273-OM-400029-000,Document,
182080031,00273-OM-400029-001,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400029,Folder,
182603667,Vulcan Table 2.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400029:00273-OM-400029-001,Document,
182787442,Vulcan Change Order 400029_1 Signed.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400029:00273-OM-400029-001,Document,
187845212,00273-OM-400029-002,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400029,Folder,
188001222,Vulcan Change Order 400029_2.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400029:00273-OM-400029-002,Document,
188104254,00273-OM-400029-003,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400029,Folder,
188103363,E&I Rates - Current2015.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400029:00273-OM-400029-003,Document,
188330237,Vulcan CO400029_3 executed.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400029:00273-OM-400029-003,Document,
192460303,00273-OM-400029-004,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400029,Folder,
192458615,Vulcan Cover Page,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400029:00273-OM-400029-004,Document,
192459394,Blend_E&I_Rates_08252015.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400029:00273-OM-400029-004,Document,
192717487,Vulcan CO400029_004 executed.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400029:00273-OM-400029-004,Document,
171684287,00273-OM-400017,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts,Folder,400017
171683890,00273-OM-400017-000,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400017,Folder,
172652646,Hytech MCC400017.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400017:00273-OM-400017-000,Document,
174106976,00273-OM-400017-001,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400017,Folder,
185548022,Hytech CO 400017_1.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400017:00273-OM-400017-001,Document,
186604269,00273-OM-400017-002,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400017,Folder,
188106239,00273-OM-400017-003,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400017,Folder,
171684504,00273-OM-400040,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts,Folder,400040
171684438,00273-OM-400040-000,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400040,Folder,
172852144,MPI MCC 400040.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400040:00273-OM-400040-000,Document,
174108050,00273-OM-400040-001,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400040,Folder,
174531550,MPI CO400040_1 executed.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400040:00273-OM-400040-001,Document,
186599009,00273-OM-400040-002,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400040,Folder,
186830132,MPI Table 2.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400040:00273-OM-400040-002,Document,
187072395,MPI Change Order 400040_2.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400040:00273-OM-400040-002,Document,
188113302,00273-OM-400040-003,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400040,Folder,
188138030,MCC Mechanical Rates - Current2015.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400040:00273-OM-400040-003,Document,
188330415,MPI CO400040_3 executed.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400040:00273-OM-400040-003,Document,
192339626,00273-OM-400040-004,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400040,Folder,
192335924,Blended Mechanical Rates 250815- .pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400040:00273-OM-400040-004,Document,
192508039,MPI CO400040_004 executed.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400040:00273-OM-400040-004,Document,
171685187,00273-OM-400041,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts,Folder,400041
171685188,00273-OM-400041-000,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400041,Folder,
172851889,Brown's Bobcat MCC 400041.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400041:00273-OM-400041-000,Document,
175401487,00273-OM-400041-001,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400041,Folder,
175402326,Brown's Table 2.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400041:00273-OM-400041-001,Document,
176148212,00273-OM-400041-002,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400041,Folder,
176162131,Brown's Table 2.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400041:00273-OM-400041-002,Document,
176162479,Brown's Table I.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400041:00273-OM-400041-002,Document,
176215172,Browns CO 400041_2.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400041:00273-OM-400041-002,Document,
177098616,00273-OM-400041-003,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400041,Folder,
177110769,Browns Table 2.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400041:00273-OM-400041-003,Document,
177141852,Brown's Change Order 400041_3.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400041:00273-OM-400041-003,Document,
180650474,00273-OM-400041-004,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400041,Folder,
180898132,Browns CO 400041_4.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400041:00273-OM-400041-004,Document,
183051769,00273-OM-400041-005,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400041,Folder,
183060396,Brown's Table 2.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400041:00273-OM-400041-005,Document,
183159292,400041_5 - Executed.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400041:00273-OM-400041-005,Document,
183773214,00273-OM-400041-006,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400041,Folder,
183989148,RFI1.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400041:00273-OM-400041-006,Document,
183991532,RFI.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400041:00273-OM-400041-006,Document,
184073570,Table 2.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400041:00273-OM-400041-006,Document,
184076179,400041_6 - Executed.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400041:00273-OM-400041-006,Document,
187366208,00273-OM-400041-007,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400041,Folder,
187361828,RD5743500C_EN_1547784_73745_146.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400041:00273-OM-400041-007,Document,
187367111,Browns Table 2.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400041:00273-OM-400041-007,Document,
188115487,00273-OM-400041-008,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400041,Folder,
188107969,Earthworks Rates - Current.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400041:00273-OM-400041-008,Document,
188327436,Brown's CO400041_8 executed.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400041:00273-OM-400041-008,Document,
188556716,00273-OM-400041-009,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400041,Folder,
188551547,Browns_Table_2.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400041:00273-OM-400041-009,Document,
188614198,Brown's CO400041_9 Executed.msg,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400041:00273-OM-400041-009,Document,
188614594,Brown's CO400041_9 executed.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400041:00273-OM-400041-009,Document,
192255728,00273-OM-400041-010,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400041,Folder,
192263873,Blended 08252015 Civil EW.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400041:00273-OM-400041-010,Document,
192421353,Brown's CO400041_010 executed.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400041:00273-OM-400041-010,Document,
171685190,00273-OM-400044,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts,Folder,400044
171684510,00273-OM-400044-000,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400044,Folder,
173109326,Clark's MCC400044 executed .pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400044:00273-OM-400044-000,Document,
173136276,Cover page.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400044:00273-OM-400044-000,Document,
174107369,00273-OM-400044-001,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400044,Folder,
174548865,Clarks CO 400044_1.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400044:00273-OM-400044-001,Document,
186598574,00273-OM-400044-002,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400044,Folder,
186829922,Clarks Table 2.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400044:00273-OM-400044-002,Document,
186900069,Clarks Change Order 400044_2.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400044:00273-OM-400044-002,Document,
188108579,00273-OM-400044-003,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400044,Folder,
188138636,MCC Mechanical Rates - Current2015.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400044:00273-OM-400044-003,Document,
188328654,Clark's CO400044_3 executed.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400044:00273-OM-400044-003,Document,
192266918,00273-OM-400044-004,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400044,Folder,
192263994,Blended Mechanical Rates 250815- .pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400044:00273-OM-400044-004,Document,
192421639,Clark's CO400044_004 executed.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400044:00273-OM-400044-004,Document,
171685196,00273-OM-400047,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts,Folder,400047
171687211,00273-OM-400047-000,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400047,Folder,
172728987,Pronghorn 400047 MCC.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400047:00273-OM-400047-000,Document,
177315515,00273-OM-400047-001,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400047,Folder,
177316599,Pronghorn Change Order 400047_1.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400047:00273-OM-400047-001,Document,
187847706,00273-OM-400047-002,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400047,Folder,
187843029,Pronghorn Table 2.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400047:00273-OM-400047-002,Document,
187997608,Pronghorn Change Order 400047_2.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400047:00273-OM-400047-002,Document,
188101467,00273-OM-400047-003,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400047,Folder,
188105154,E&I Rates - Current2015.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400047:00273-OM-400047-003,Document,
188327235,Pronghorn CO400047_3 executed.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400047:00273-OM-400047-003,Document,
192252763,00273-OM-400047-004,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400047,Folder,
192267397,Blend E&I Rates 08252015.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400047:00273-OM-400047-004,Document,
192418569,Pronghorn CO400047_004 executed.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400047:00273-OM-400047-004,Document,
171685295,00273-OM-400024,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts,Folder,400024
171685406,00273-OM-400024-000,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400024,Folder,
172730328,Kandrea MCC 400024.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400024:00273-OM-400024-000,Document,
175224615,00273-OM-400024-001,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400024,Folder,
175225045,400024.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400024:00273-OM-400024-001,Document,
175693836,00273-OM-400024-002,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400024,Folder,
175815480,Kandrea Change Order 400024_2.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400024:00273-OM-400024-002,Document,
185964975,00273-OM-400024-003,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400024,Folder,
186268504,Kandrea Change Order 400024_3.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400024:00273-OM-400024-003,Document,
186310982,00273-OM-400024-004,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400024,Folder,
186310642,Kandrea Table 2.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400024:00273-OM-400024-004,Document,
186729740,Kandrea Change Order 400024_4.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400024:00273-OM-400024-004,Document,
188741825,00273-OM-400024-005,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400024,Folder,
189093158,Kandrea Change Order 400024_5.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400024:00273-OM-400024-005,Document,
171685545,00273-OM-400056,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts,Folder,400056
171686641,00273-OM-400056-000,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400056,Folder,
171730209,MEC 0694 FCCL.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400056:00273-OM-400056-000,Document,
171758102,400056 - Tridyne.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00273-OM-400056:00273-OM-400056-000,Document,
171685634,00265-OM-400054,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts,Folder,400054
171684230,00265-OM-400054-000,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00265-OM-400054,Folder,
171732910,MEC 0769_0 - Tetranex (TL ULC) - Executed.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00265-OM-400054:00265-OM-400054-000,Document,
171758796,400054 - Tetranex.pdf,:Enterprise:Upstream Operations:Upstream Business Services:Supply Management:JDE Attachments:SCM-CCA-Contracts:00265-OM-400054:00265-OM-400054-000,Document,
